Goles en el partido,Crónica,Fecha,Local,goles_local,Otros,goles_visitante,id_partido,resultado_local
25.0,69,2009-02-25,Pesca,9.0,Dealers,16.0,2009-02-25,P
10.0,70,2009-03-04,Pesca,5.0,Dealers,5.0,2009-03-04,E
18.0,71,2009-03-11,Pesca,9.0,Dealers,9.0,2009-03-11,E
11.0,72,2009-03-18,Pesca,5.0,Dealers,6.0,2009-03-18,P
20.0,73,2009-03-25,Pesca,9.0,Dealers,11.0,2009-03-25,P
12.0,74,2009-04-01,Pesca,7.0,Dealers,5.0,2009-04-01,G
35.0,75,2009-04-08,Pesca,13.0,Dealers,22.0,2009-04-08,P
19.0,76,2009-04-15,Pesca,8.0,Dealers,11.0,2009-04-15,P
0.0,77,2009-04-22,PARTIDO FALLIDO SOLO FUIMOS 6,,,,2009-04-22,E
16.0,78,2009-04-29,Pesca,7.0,Dealers,9.0,2009-04-29,P
20.0,79,2009-05-20,Pesca,9.0,Dealers,11.0,2009-05-20,P
24.0,80,2009-06-10,Pesca,12.0,Dealers,12.0,2009-06-10,E
31.0,81,2009-06-17,Pesca,17.0,Dealers,14.0,2009-06-17,G
0.0,82,2009-06-24,PARTIDO FALLIDO SOLO FUIMOS 6,,,,2009-06-24,E
10.0,83,2009-07-08,Pesca,4.0,Dealers,6.0,2009-07-08,P
24.0,84,2009-07-29,Pesca,13.0,Dealers,11.0,2009-07-29,G
22.0,85,2009-08-05,Pesca,12.0,Dealers,10.0,2009-08-05,G
13.0,86,2009-08-12,Pesca,5.0,Dealers,8.0,2009-08-12,P
9.0,87,2009-08-19,Pesca,6.0,Dealers,3.0,2009-08-19,G
13.0,88,2009-08-26,Pesca,6.0,Dealers,7.0,2009-08-26,P
33.0,89,2009-09-02,Pesca,15.0,Dealers,18.0,2009-09-02,P
11.0,90,2009-09-16,Pesca,3.0,Dealers,8.0,2009-09-16,P
9.0,91,2009-09-23,Pesca,5.0,Dealers,4.0,2009-09-23,G
7.0,92,2009-10-21,Pesca,4.0,Dealers,3.0,2009-10-21,G
21.0,93,2009-10-28,Pesca,8.0,Dealers,13.0,2009-10-28,P
21.0,94,2009-11-04,Pesca,7.0,Dealers,14.0,2009-11-04,P
8.0,95,2009-11-11,Pesca,6.0,Dealers,2.0,2009-11-11,G
9.0,96,2009-11-18,Pesca,4.0,Dealers,5.0,2009-11-18,P
14.0,97,2009-11-25,Pesca,8.0,Dealers,6.0,2009-11-25,G
21.0,98,2009-12-02,Pesca,12.0,Dealers,9.0,2009-12-02,G
8.0,99,2009-12-09,Pesca,4.0,Dealers,4.0,2009-12-09,E
10.0,100,2009-12-16,Pesca,6.0,Dealers,4.0,2009-12-16,G
26.0,101,2009-12-23,Pesca,9.0,Dealers,17.0,2009-12-23,P
21.0,102,2010-02-17,Pesca,11.0,Dealers,10.0,2010-02-17,G
18.0,103,2010-02-24,Pesca,10.0,Dealers,8.0,2010-02-24,G
10.0,104,2010-03-10,Pesca,6.0,Dealers,4.0,2010-03-10,G
15.0,105,2010-03-17,Pesca,10.0,Dealers,5.0,2010-03-17,G
13.0,106,2010-04-07,Pesca,4.0,Dealers,9.0,2010-04-07,P
24.0,107,2010-04-21,Pesca,11.0,Dealers,13.0,2010-04-21,P
15.0,108,2010-04-28,Pesca,4.0,Dealers,11.0,2010-04-28,P
11.0,109,2010-05-05,Pesca,5.0,Dealers,6.0,2010-05-05,P
19.0,110,2010-05-12,Pesca,9.0,Dealers,10.0,2010-05-12,P
17.0,111,2010-05-19,Pesca,11.0,Dealers,6.0,2010-05-19,G
13.0,112,2010-05-26,Pesca,8.0,Dealers,5.0,2010-05-26,G
19.0,113,2010-06-02,Pesca,7.0,Dealers,12.0,2010-06-02,P
9.0,114,2010-06-09,Pesca,4.0,Dealers,5.0,2010-06-09,P
15.0,115,2010-06-16,Pesca,12.0,Dealers,3.0,2010-06-16,G
14.0,116,2010-06-23,Pesca,6.0,Dealers,8.0,2010-06-23,P
23.0,117,2010-06-30,Pesca,15.0,Dealers,8.0,2010-06-30,G
23.0,118,2010-07-07,Pesca,11.0,Dealers,12.0,2010-07-07,P
15.0,119,2010-07-14,Pesca,10.0,Dealers,5.0,2010-07-14,G
22.0,120,2010-07-21,Pesca,11.0,Dealers,11.0,2010-07-21,E
27.0,121,2010-08-10,Pesca,15.0,Dealers,12.0,2010-08-10,G
23.0,122,2010-08-17,Pesca,12.0,Dealers,11.0,2010-08-17,G
29.0,123,2010-08-24,Pesca,12.0,Dealers,17.0,2010-08-24,P
25.0,124,2010-08-31,Pesca,12.0,Dealers,13.0,2010-08-31,P
20.0,125,2010-09-07,Pesca,9.0,Dealers,11.0,2010-09-07,P
23.0,126,2010-09-14,Pesca,12.0,Dealers,11.0,2010-09-14,G
15.0,127,2010-09-21,Pesca,8.0,Dealers,7.0,2010-09-21,G
25.0,128,2010-09-28,Pesca,12.0,Dealers,13.0,2010-09-28,P
21.0,129,2010-10-05,Pesca,14.0,Colados,7.0,2010-10-05,G
16.0,130,2010-10-12,Pesca,8.0,Dealers,8.0,2010-10-12,E
22.0,131,2010-10-19,Pesca,13.0,Dealers,9.0,2010-10-19,G
31.0,132,2010-10-26,Pesca,12.0,Dealers,19.0,2010-10-26,P
16.0,133,2010-11-02,Pesca,9.0,Dealers,7.0,2010-11-02,G
23.0,134,2010-11-10,Pesca,13.0,Dealers,10.0,2010-11-10,G
28.0,135,2010-11-17,Pesca,19.0,Dealers,9.0,2010-11-17,G
26.0,136,2010-11-24,Pesca,15.0,Dealers,11.0,2010-11-24,G
12.0,137,2010-12-01,Pesca,4.0,Dealers,8.0,2010-12-01,P
26.0,138,2010-12-08,Pesca,11.0,Dealers,15.0,2010-12-08,P
23.0,139,2010-12-15,Pesca,8.0,Dealers,15.0,2010-12-15,P
0.0,140,2010-12-22,NO SE JUGO POR CANCHA CERRADA,,,,2010-12-22,E
17.0,141,2011-02-18,Pesca,5.0,Dealers,12.0,2011-02-18,P
18.0,142,2011-03-03,Pesca,9.0,Dealers,9.0,2011-03-03,E
18.0,143,2011-03-10,Pesca,10.0,Dealers,8.0,2011-03-10,G
34.0,144,2011-03-17,Pesca,23.0,Dealers,11.0,2011-03-17,G
22.0,145,2011-03-24,Pesca,13.0,Dealers,9.0,2011-03-24,G
28.0,146,2011-03-31,Pesca,13.0,Dealers,15.0,2011-03-31,P
28.0,147,2011-04-07,Pesca,18.0,Dealers,10.0,2011-04-07,G
25.0,148,2011-04-14,Pesca,17.0,Dealers,8.0,2011-04-14,G
22.0,149,2011-04-21,Pesca,11.0,Dealers,11.0,2011-04-21,E
27.0,150,2011-04-27,Pesca,11.0,Dealers,16.0,2011-04-27,P
45.0,151,2011-05-04,Pesca,19.0,Dealers,26.0,2011-05-04,P
25.0,152,2011-05-11,Pesca,12.0,Dealers,13.0,2011-05-11,P
33.0,153,2011-05-18,Pesca,14.0,Dealers,19.0,2011-05-18,P
18.0,154,2011-06-01,Pesca,11.0,Dealers,7.0,2011-06-01,G
35.0,155,2011-06-08,Pesca,19.0,Dealers,16.0,2011-06-08,G
22.0,156,2011-06-15,Pesca,16.0,Dealers,6.0,2011-06-15,G
31.0,157,2011-06-22,Pesca,18.0,Dealers,13.0,2011-06-22,G
22.0,158,2011-06-29,Pesca,10.0,Dealers,12.0,2011-06-29,P
23.0,159,2011-07-06,Pesca,15.0,Dealers,8.0,2011-07-06,G
23.0,160,2011-07-13,Pesca,14.0,Dealers,9.0,2011-07-13,G
47.0,161,2011-07-20,Pesca,21.0,Dealers,26.0,2011-07-20,P
22.0,162,2011-07-27,Pesca,11.0,Dealers,11.0,2011-07-27,E
23.0,163,2011-08-03,Pesca,10.0,Dealers,13.0,2011-08-03,P
21.0,164,2011-08-10,Pesca,15.0,Dealers,6.0,2011-08-10,G
23.0,165,2011-08-17,Pesca,13.0,Dealers,10.0,2011-08-17,G
14.0,166,2011-08-24,Pesca,9.0,Dealers,5.0,2011-08-24,G
10.0,167,2011-08-31,Pesca,5.0,Dealers,5.0,2011-08-31,E
23.0,168,2011-09-07,Pesca,12.0,Dealers,11.0,2011-09-07,G
27.0,169,2011-09-14,Pesca,9.0,Dealers,18.0,2011-09-14,P
22.0,170,2011-09-22,Pesca,16.0,Dealers,6.0,2011-09-22,G
25.0,171,2011-09-29,Pesca,10.0,Dealers,15.0,2011-09-29,P
25.0,172,2011-10-06,Pesca,14.0,Dealers,11.0,2011-10-06,G
21.0,173,2011-10-13,Pesca,10.0,Dealers,11.0,2011-10-13,P
16.0,174,2011-10-20,Pesca,6.0,Dealers,10.0,2011-10-20,P
24.0,175,2011-10-27,Pesca,13.0,Dealers,11.0,2011-10-27,G
12.0,176,2011-11-03,Pesca,6.0,Dealers,6.0,2011-11-03,E
14.0,177,2011-11-10,Pesca,9.0,Dealers,5.0,2011-11-10,G
34.0,178,2011-11-17,Pesca,18.0,Dealers,16.0,2011-11-17,G
15.0,179,2011-12-01,Pesca,8.0,Dealers,7.0,2011-12-01,G
21.0,180,2011-12-08,Pesca,11.0,Dealers,10.0,2011-12-08,G
21.0,181,2011-12-15,Pesca,12.0,Dealers,9.0,2011-12-15,G
32.0,182,2011-12-21,Pesca,17.0,Dealers,15.0,2011-12-21,G
14.0,183,2012-02-08,Pesca,9.0,Dealers,5.0,2012-02-08,G
20.0,184,2012-02-16,Pesca,9.0,Dealers,11.0,2012-02-16,P
28.0,185,2012-02-23,Pesca,17.0,Dealers,11.0,2012-02-23,G
26.0,186,2012-03-01,Pesca,9.0,Dealers,17.0,2012-03-01,P
17.0,187,2012-03-08,Pesca,9.0,Dealers,8.0,2012-03-08,G
21.0,188,2012-03-15,Pesca,7.0,Dealers,14.0,2012-03-15,P
14.0,189,2012-03-22,Pesca,5.0,Dealers,9.0,2012-03-22,P
24.0,190,2012-03-29,Pesca,15.0,Dealers,9.0,2012-03-29,G
